course_title/users,Ramesh,Ritesh,Rohit,Divya,Pooja,Ravi,Mansi,Hitesh,Tejas,Sonal,Rahul,Sourabh
Forex trading with binary options,0,,,,,,,,,,,0
Triple P Trading Course,1,1,,0,0,,0,1,,,,
Cost Accounting - A Comprehensive Study,,0,1,,,0,,,,,,
How to become a successful day trader,1,0,,,,,,1,0,0,,
Essentials of Finance and Investment in 2 hours,,,,,,0,,,1,,,1
Public Speaking: You Can Give Great Financial Presentations,,0,,,,,,,,,,0
Professional Trading - Consistent Profits with Low Risk!,0,,,,,,,,1,1,1,
Trading for winning,,,,,0,0,,0,0,,,
Succeed in Stocks Even if you Don't Know Where to Start,,,,,,0,,,,,,
Options Basics & Trading With Small Capital! - Level 1,,1,,0,,,,,,,,
Forex trading Basic to advance Professional Level course,,,,,,,,1,,,,0
Day Trading in Stocks: Strategies for Beginner Investors,,,0,1,,0,,,,,,
Learn to Trade Forex Big U-Turn Trade,,,,,0,,1,,0,,,
"Technical Analysis Primer for trading Stocks, Bonds & Forex",,1,,0,,,,,1,,,
DIY: Reduce Unpaid Federal Tax thru  IRS Offer in Compromise,0,,,,,0,,,,,0,
Stock Trading with this Strategy,,0,0,,,0,,,,,,
The Psychology of Trading,,,1,,,1,,0,,,1,
Professional Forex Strategy+2 weeks for FREE trading alerts,,,,,,,0,,0,,,0
Stock Trading Essentials for Day Traders,,,,,,,,,,,0,
Basics of Finance and Budgeting,,,,,,,,,,,,0
Portfolio Management CFA L1 2016,,,,,0,,,1,,,,
"Trade Stocks, Forex & Financial Markets like a Professional",,,,,,,,,,,,0
The Tax Advantaged Investor: A Guide to Legal Tax Reduction!,0,,,,1,,,,,,,
The Smart Option Trader,,,,,,0,,0,,,,
Beginners Chart Patterns Trading for Penny Stocks,,,,0,,,,,,,,
Financial Statements: Learn Accounting. Unlock the Numbers.,1,,,,,,,,,,,
CFA® Level 1 2014 – Alternative Investments,,,1,,,,,0,,0,,
Interest Rate Swaps,,,0,,,,,,,,,
Financial Modelling for entrepreneurs,,,,,0,,,,,,,
Economics - CFA Level 1 - 2014,,,0,,,,0,1,,,,0
Bookkeeping Made Simple,,,,,,0,,,,,0,1
What is Bitcoin,,,,,,,,,,,,
Accounting for CA CPT Exams Part I,,,,1,,,,,1,0,,
Raising Capital for Your Business,,0,,,1,1,,,,,,
"Silver, Gold, and Inflation",,,,,,0,,,,,,
Accounting Concepts For Technocrats,,,,,,,,,,,,
Beginner Financial Analysis: Invest Like Warren Buffett,,0,,,,,,,,,,
Advance Technical Analysis,,0,,,0,,,,,,,
The Everyday Investor: Building Wealth with Venture Capital,,,,,1,,,,,,,
QuickBooks Online : Inventory Management For Non-Finance,,,,1,,,,,,,,
Law Matters,,,,,,,,,,,1,
Learn to Trade for Profit: Finding Winning Stocks - Chinese,,,,1,1,,0,1,,,,
Financial Accounting Part 2 - Passing The Class,,1,,,,,,,,,,
Simple Options Trading System,,,,,,,,,,0,0,
Investments and Financial Markets,,,1,,,,0,1,1,,,
Legal Accounting,,0,,,,,,,1,,,
"Term Loan Appraisal for bankers, credit analysts",0,,,,,,0,1,,0,,
Small Biz Doers' Guide to Small Biz Accounting + Bookkeeping,0,0,,,,,,,,,,1
Trade Show Samurai,,1,,,,,,,,,,1
Forex Harmonic Trading- With Multiple Forex Chart Examples,,,,1,,,,,0,,,
The Cost of Capital: The Key To Attract Venture Capitalists,,,,,,,0,,,,,
Accounting for School Students,0,,,1,,,1,,,,,
Learn To Trade The Forex Naked Price Action Acapulco Trade,0,,,,0,,0,,,,,
Certificate in MYOB AccountRight Premier 2017 Course,,,,,,,,,,,,
Master The Psychology of Forex & Binary Options Trading,,,,,,,0,,,,,
Learn to Pick the Right Stock Broker Account,1,1,,,,,,,,,,
Profit During Crashing Markets: A Step-by-Step Guide,,,,,,,,,,,,
Introduction to Futures & Options,,0,,,0,,1,,,,,1
Learn To Invest In 7 Steps,,0,,,,,,1,,1,0,
Sell like a Pro: Insider Secrets of Successful Selling!,,,,,,,,0,,,,
3 Little Pigs: A Multiple Timeframe Forex Trading Strategy,,,,,,,,,,,,
6. Annuities Due and Deferred,,1,1,,,,1,,,,0,
CFA® Level 1 2014 – Quantitative Methods,,,,,,1,,,1,,,
IFRIC 13-Customer Loyalty Programmes (Revenue),,0,,,,,,,,,,
FOREX Currency Trading For Beginners,,,,,,1,,,,,,
Basic Technical Analysis,,0,,,,,,,1,,,
Forex:Trade Management & Psychology,,1,,,,,,,,,,
"Working Capital assessment for bankers, credit analysts",,,,,1,,1,,,,,
"CFA Level I Workshop 6: Alternatives, PM and Economics ",,,,,,,,,1,0,,0
CFA Level I Workshop 3: Financial Reporting & Analysis II,0,,,,,,1,,,0,1,
How to trade in the Forex market,,,0,,,,,,,,,
Bookkeeping Practicals with Software,,,,,1,,0,,,,0,
8 Steps To Achieve Financial Freedom And Escape Debt,1,,1,,,,0,,,,,0
Trading Basics in 30 minutes,0,,,,0,,,,,,,1
Technical Charting,,,,,,,,,,,0,
Profits Turbo,,,0,,0,,,,,,,
Nest Egg Investing,,,,,,,,,,,,
Economics for beginners - Various Concepts,,1,1,,,,,,,,1,
Investing in Stocks & Shares,,,,,,0,,1,,,,
Learn Financial Modeling from Scratch - Part 2,1,0,,,,,,,,,,
Learn Financial Modeling from Scratch - Part 3,,,,1,,1,1,,,,,
A Practical Guide to Wealth Creation,1,0,,,,,,,,,,
"'Geometry Of Chance strategy of defeating the roulette.""",,,,,,,,,,,,
Trading Algorítmico en Forex: Crea tu primer Robot de Forex!,1,,,,0,,,,,,,
MQL4 Bootcamp Tutorial- Trading Robot Coding in Metatrader4,,,,,,,,,1,,,
Introducción a la contabilidad,,,,0,,,,1,,,1,
Einnahmen aus Udemy-Kursen als Dozent korrekt versteuern,,,,0,,,1,,,,,
Contabilidad Gubernamental en México,0,,,0,,0,,,,,,
株式投資に必要なスキルの学習手順を学ぶ,,,0,,0,,1,1,,,,
Formação de preços em serviços,1,,0,,,,,,,,,
"Geld verdienen mit dem Ticken der Uhr, wie Warren Buffett!",,,,1,,,1,,0,,,0
Торговля дельта-нейтральными стренглами,,1,,,,,0,,,,,
Guía práctica para comprar acciones en la Bolsa de USA,,,,,,,,,,,1,0
Contabilidad Financiera: Conoce el Lenguaje de los Negocios.,,,,,,,,1,,,,
Curso de Day Trader para Iniciantes,0,,,,,,,1,0,,,
Curso de Iniciación al Trading,,,,,,,0,1,0,,,
Complete GST Course For Small and Medium Enterprises,0,,,,,,,,,,1,1
3 documentos clave para administrar tu empresa con éxito,0,0,,,,1,0,,,1,,
Forex/Opciones Binarias para Principiantes,,,,1,,,,,,,0,1
15 Mandamientos para ganar dinero en Bolsa,,,,,,,,,,,1,
Le bitcoin et la blockchain,,1,,,,0,,,,,,1
Contabilità Generale,,,,0,,,,,,,,
Торговля опционами: Как заработать на волатильности,,,,,,,,,,,,
Estrategias de Inversión aplicadas al mundo del trading,,,,1,0,0,,,,,,
バイナリーオプション取引,,,,,,,,,1,,1,
Caza los Enormes Movimientos del Mercado,,,0,,,,,,,,,
Le basi del trading online,0,,,,0,,,,,,0,
自分に合った投資信託を見つけよう！,,,,,,0,,0,1,,,
Monatlich Geld anlegen für später!,,,,,,0,0,,,,,1
Invierte en la Bolsa Mexicana y de USA,,,0,1,,1,,,,,,
Gestão Financeira Para Pequenas e Médias Empresas,,,,,,,,,,,0,
Curso Completo de Bitcoin - Ganhe 0.00005 Bitcoin,,1,,,,,,,,0,1,
Tudo sobre Investimentos em Renda Fixa,,,,0,,,,,0,,1,1
Aprende a invertir sin capital,,,,,,,,,1,,0,0
Apprendre à trader sur le marché du Forex - guide complet,,,,1,,,,,,,,0
Introducción a las Finanzas,1,,,,,,,,,,,
Finanzielle Unabhängigkeit-1: Erste Schritte zur Million,,,,,,,1,,0,,,
Forex para Principiantes-Ejemplos en VIVO de Trading Real,,0,,0,,1,,,,,,
Finanzielle Unabhängigkeit-3 Millionär werden mit Immobilien,,,,,,,,,0,0,,
Introduction to Health Financing,1,,,,,,0,0,,,,
Accounting Cycle: Learn the concepts in 60 minutes,,,,,0,,1,,,,,
Optimize! Make Best Decisions with Microsoft Excel,1,,0,,,,,1,,1,,
Understanding The Stock Market: For Beginners,,,0,,,,,,1,,,
CFA® Level 1 2014 – FI,,,1,,,,,0,,,,
9. Sinking Funds,,1,1,1,0,,,0,,,,
Managerial Accounting - The Ultimate Beginner Course!,1,0,,,,,,1,1,1,,
Forex Trading for Beginners Vol 1:A Forex Course Made Simple,,1,,1,,,,,,,0,
Accounting - Basic Costing ,,,0,,1,,,,0,,,
"Double Your Salary With Free, Local, Job Training Courses",,,,,,,,,,,,0
Financial Modeling - Facebook Case Study,0,,1,,0,,,,,1,,
Understanding Financial Derivatives,,,,,,,,,,,0,1
Forex Basics: Learn how to read and analyze Forex charts,,,,1,1,,,,,1,,1
Forex - Help I cant Trade,1,,,,,,0,,,,,
Start-up financial modeling for non-finance professionals,,0,,,,,,,,,,
The Fast Route to a Faster Financial Close,,,,1,,0,,,,,0,
Easy Finance For Startups,,,0,,,,0,,0,,,
"Excel 4 Accounting & Bookkeeping - Master Date,Time & Text",,,,,,,,1,,1,,0
"Depreciation, Amortization and Depletion",1,,,,,,1,1,0,,,
Breakeven Analysis and Pricing,,1,,,,,1,,,,0,0
Tally ERP Complete Training in Urdu / Hindi,,,,,,,,,,,,
Accounting Simplified,0,0,1,,,,,,,1,,
Series 7: Intermediate Options,,1,,1,,,,0,,,,
Accounting and Business Basics,,,,1,,,,,,,,
Corso introduttivo al trading profittevole,,,,,,,,,,,,
Aprende a Ganar Dinero en la Bolsa,,,0,1,,,0,,,,,
Inversión: Fundamentos del Trading para Principiantes,,,,,,,,,,,,
Gana en la Bolsa con Análisis Técnico,,1,,,,,,,,,,
Precificação - Calculando valor de venda baseado nos custos,,,,,1,,,,,,,
Cómo ganar dinero invirtiendo en bolsa,,,,,1,,,,,,,
Investiere in Tax Liens-Hohe Zinsen gesetzl. festgeschrieben,,,0,,1,,0,,,,,1
Investimento em Ações,,,,,,,1,,,,0,0
Excelを使ってビジネスシミュレーション：基礎編,,1,,,0,,,0,,,1,
Estrategias de trading en bolsa,,,0,,,,0,0,,,,1
Grundlagen der finanziellen Unabhängigkeit,,,,,0,,,,,,,
"Wie Du, Dir auch mit kleinen Beträgen ein Vermögen aufbaust",,,,1,0,1,,1,,,,
Corporate Ethics,,0,,,,,,0,,,,
CFA Level 2- Quantitative Methods,,0,,,,,0,,,,,
Core Financial Statement Concepts,0,,,,,,,,,,,
Understand Core Finance Principles in 60 Minutes,0,,1,,0,,,,,1,0,
Learn Wave accounting to maintain books properly,,,,,,,,,0,1,,
Making Tax Digital - UK HMRC Legislation Explained,,,0,,,,,0,,,,
Surviving Introduction to Finance,,,,0,0,,,,,1,1,
Cost of Capital and Weighted Average Cost of Capital,,,,,,1,,1,,,,
Studying the CFA Program exams (Mandarin language version),,1,,,,,,,,,1,
Condor Broken Wing Butterfly Options Trading Course System,,1,,,,,,0,,,,1
≪虎の巻≫証券取引の「税金のお悩み」解消,1,,1,0,,,,0,,,,
【１日でマスター！】今日からはじめる資産形成,,1,,,,,0,1,1,,0,
TRADING FOR A LIVING: Trading Full-Time Transition Guide,,,1,,,,,,,,,
Learn How To use Channels to find amazing Forex Entries,,1,,,,,,,,,,
"Financial Analysis, from Scratch to Professional!",,,,,0,,,0,,,,
Cost Accounting Labour Costing (Professional Course Level),,,,,1,0,,,,,,
Learn How To Successfully Trade Forex: In 5 Simple Steps,,,,0,,,,,,,,
The Intelligent Investor,,,,,1,,,,,,,0
Succeed in Futures Even if You Don't Know Where to Start,,,0,,,0,,,,,,
Binary Options Beginners Guide : Nadex,,1,,,,,,,,,,
Trading: From Wall Street to Your Street,,1,,,0,0,1,,,,,
Build your own Naked Trading Forex Robot,,,,,1,,,1,,,,0
Tax Preparation: Learn Fast! Prepare Taxes with Confidence!,,,,,,,,,,,,
Tax Strategies of the Wealthy,,,,0,0,,,,,,1,1
The Ultimate Fibonacci Trading Plan for Forex and Stocks,,,,,,,,,,,,
Finance and Accounting for Startups,,,0,1,1,,,1,1,,0,
Forex - Calculate Lot Size Like Pro,,1,,,,,,,,0,,
The Complete Forex Trader,,,,,0,,,,0,,,
Tape Reading: Learn how to read the tape for day trading,0,,,,,,0,,,,1,
4 Easy Daily Forex Trades: A Recipe for Trading Success,,,,0,1,,,,,,,
Trading Robot Forex Programs in Your Sleep in Live Examples!,,,,,,,,,,,,
Free Options 101 - Basic of Call and Put Options in 1 Hours,,,,,,,,0,,,,
An Intro into Trading the Financial Markets,,,,,,,0,,0,0,,1
Developing A Trading Strategy: Your Guide to Trading Success,,,,,,,,,,1,,
How to Trade Commodity and Financial Futures for a Living!,,0,,,,,0,,,,,1
How to Trade Forex like a Hedge Fund: Long FX Strategies,0,1,,,,1,,,,,,
Complete Short Financial Ratio Course for Financial Analysis,1,,,,,,,,,,,0
How to Build Profitable FOREX Automated Trading Strategies!,1,,,,,,,,0,,,
Stock Trading Strategies: Profitable Trading in 7 Days.,,,,,,,,,,0,,
Management Accounting A Complete Study,,,,,,0,,,,,,
Become a Career Day Trader: Asian-Pacific Futures Markets,,,,1,,,,,,,,0
Equity Products,0,,1,,,,1,1,0,,,1
Financial Accounting Part I - Passing the Class,,0,,1,,1,,0,,,,
Accounting 102: Guide to Business Accounting,,,,0,1,,,,,,,
Monetizing Your Website: How to Add Cost-Per-Action (CPA) ,,,,,,1,,,,,,
Advanced Finance and Accounting for Startups,,,,,,,,0,,1,,
Basics of Tax in India  (College Level),,1,,,,,,,,,,1
Trade for a Living,,1,,,,,,,,,1,
Learn Stock Options: Options Made Simple 101,,,,,,,,0,,,,
Banking Credit Analysis Process (for Bankers),,0,,,,,,,,0,,
Professional Forex strategy,,,,,,,0,0,,,,
A Beginners Guide to Technical Analysis of Stock Charts,,,,,1,0,1,,,,,
Get out of Debt - The Power of Using Compounding Interest,,,,,,0,,,,0,,
Day Trading - Learn to Day Trade / Swing Trade In One Hour.,,,,,,,,1,,,,
Basel Norms (Basel 1/ Basel 2/ Basel 3) Simplified,,,,,,,,0,1,,0,
Learn to Trade Forex Naked Price Action Wammie Trade,,,,,,,,,,,,
Fixed Income Securities,,,,,,,,,,0,,
Financial Accounting Made Easy for All,,0,,,,,,1,,,0,
Ultimate Guide To Trading Engulfing Candlestick Strategy,,,,,,,0,1,,,,
Learn Business Finance: Win more work as a Business Coach ,,,1,,,,,,,,,0
Accounting for Depreciation (Collage Level),,,,,0,,,,1,1,,
Revealed: Profitable Principles of Successful Traders ,,,,,0,,,,,0,,
Easy Market Profits: 3 Step Stock Investing Strategy,,,,,,,,,,,,1
Hedge Fund Trading Systems For Stocks - Part One,,,0,,,,,,,,,1
Bonds For Beginners - A Guide To The Bond Markets,,0,,,,0,1,0,,,,
Professional Risk Manager (PRM) Certification: Level 4,1,1,,,,,,,,,,
Crowdfunding for Filmmakers,,,,,0,,,1,,,,
How to Make IT Work Successfully in Capital Markets,,,,,0,1,,,,0,,
Introduction to Day Trading,0,,,,,,,1,,,,
Life Coach Business Basics: Finance and Operations,,,,1,,,1,,,,,
Learn How to Profit In Forex With Market Rhythms,,,,,0,,,,,,,
Optimizing investment to maximise your return,,,,,,,,1,,,1,
Investimento em Ações para Leigos,,0,,,1,,,,0,1,,
Introducción a la Contabilidad,,,,,,0,,,,,,1
Forex Trading: Strategia Correlazione EUR/GBP vs GBP/USD,,,,0,0,0,,,0,,,
Finanzielle Unabhängigkeit-2 Millionär werden mit Investment,0,,,,,,0,,,,,
カードゲームでカンタンに理解する！経済とお金のキホン,0,,,,,1,,,,,,
Contabilidad rápida y eficaz,0,,,,,1,,,,0,0,
Introducción al trading de opciones,,1,,,0,,,,,,1,1
Aprenda a Investir seu Dinheiro,,,,0,,,,,,,,0
Trader sur le Forex avec Ichimoku,1,,,,,,0,,,,,0
العلوم والمبادئ الأساسية للمهنة الإكتوارية,,,,,0,1,,,1,,1,
トレーディングビュー徹底攻略2017年版,,0,,,,0,,,,,,
Kostenrechnung lernen leicht gemacht,,0,,,,,,,1,,,0
MetaTrader4 Platform Training,1,,,,,,,,,,,
Professional Bookkeeping & Accounting 1: Sales & Purchases,,,,,,,0,,,,,
Step by step guide to understand how business perform,,,,,0,,1,,,,1,1
How to Grow your Small Business and not run out of Cash,,,,,1,,1,,,,,1
Finance for Non Finance Executives,,,,,,,0,,,,,
"An Introduction: MT4 Email, Sound, Notification Forex Alerts",0,,,,0,,,,,,,1
Innovators and innovation: Travel through time!,0,,,,,,,,,,,1
Learn How to Trade The Stock Market,,,,,,,,,,,,
How To Earn Some Bitcoin Every Time You Use A Search Engine,,,0,,,,,,,,,0
Super Fast Accounting - the fastest way to do your books,,,,,,,,,,,,
Financial Modeling and Valuation: Complete Beginner to Pro,,,0,,,1,,,,,0,
Learn to trade Chart Patterns,,,,,,,,,0,,,
Anatomy and Figure Drawing for Beginners,,0,,,0,,,0,1,0,,
Illustrator CC MasterClass,,,,,0,,0,,1,,,
Typographic Logo Design in Illustrator - Beginners & Beyond,,0,0,,,,,,,,,
Adobe Illustrator T-Shirt Design for Merch by Amazon,,,,0,,1,,,,,,
Logo Design in Adobe Illustrator - for Beginners & Beyond,1,,,,,,,0,,1,,
Learn Adobe Illustrator: Semi-Automatic Mandalas Drawing,1,,,0,,,,1,,,,
Create Professional Looking Infographics With No Experience,,,,,,1,0,,,,,
Discover How to Draw and paint Comics,,,,,,,0,,,0,,
Typographic Logos: Typography and Lettering for Logo Design,,,0,0,0,,,0,1,,,
Photoshop in Ease: Create World Amazing  Graphic Designs,,,,,,,,,0,,,
Canva Graphics Design Essential Training For Everyone,,1,,,,,,,,0,,
Triangulated Bird: Origami Styled Bird in Adobe Illustrator,,,0,0,,,,,,,,
Illustrator Quick Tip：10分でKawaiiカメレオンを描こう,1,,,,,,,1,,,,
Deinen Roman setzen mit PagePlus in 10 einfachen Schritten,,1,,,,,,,,,,
画像加工の初心者でも「１日」で初歩を覚えられる無料講座,,,,1,,,0,,1,0,,
Graphic Design Bootcamp,,,1,,,,,,,,,
The Ultimate Drawing Course - Beginner to Advanced,,,,,,1,1,,1,,,
Ultimate Photoshop Training: From Beginner to Pro,,,,,,,,,,1,,
Photoshop for Entrepreneurs - Design 11 Practical Projects,,,,,,,,,,0,,
Anatomy for Figure Drawing: Mastering the Human Figure,,,1,,,,,0,,,,0
Sketch 3 from A to Z: Become an App Designer,,,,,,,,,,,,
How to Design a Logo - a Beginners Course,,,,0,1,,,0,,,,
Logo Design Masterclass: Learn Logo Design + Illustrator,,,,,,,,,,1,0,
How to Draw and Sketch for Beginners,1,,0,0,,,,,,0,,
Graphic Design Masterclass: Learn Graphic Design in Projects,,,,0,0,,,,,,,
Canva Graphics Design for Entrepreneurs - Design 11 Projects,,,0,,,,1,,,,,1
Vector Logo Design in Affinity Designer,,1,,,,0,,,0,,,
How To Create A Low Poly Portrait With The Pen Tool,,1,,,0,,,0,,1,,
Photo Editing in Photoshop - Beginner to Advanced in 1 Hour,,0,,,0,,,,,,,
How to Create Kindle & Ebook Covers with Canva,,,,,,,,,,,,
How To Make Professional eBook Covers For FREE,,,,,,0,1,,0,1,1,
Design Business Card in Photoshop: Earn Money by Doing It,,1,0,0,,,,,,,,
Learn to create beautiful web interfaces and logos,,,1,,0,,,,,0,,0
Illustrated Logo Design,,,,,,,,,,,,
Color Basics for Print Designers,,,0,,,,1,0,,,,0
Digital Photo Manipulation Art And Cover Design In PhotoShop,1,,,,,,,0,,,,
Drawing Perspective For Beginners,,,,0,,0,,,,1,,
Adobe InDesign CC Advanced,0,,0,,,,,,1,,,1
Intro to Photoshop for Merch by Amazon,,0,0,,,,,,,,,
MicroStation - Células,,,,1,1,0,0,,,,,
Photoshop - Creación de Efectos 2,,,,1,,,,,,,,
Como Criar Logos de Sucesso - Start Designer,,0,1,,,,,,,1,,0
Super Textos con Photoshop,,,0,,0,,,1,,,,
Photoshop - Aprende a Transformar Imágenes,,1,,,,,,,1,,0,0
Iníciate en Microstation,,,,0,,,,,,0,,
Adobe Photoshop pentru Social Media,,,,0,1,0,,,,,,1
Photoshop - Creación de Efectos,1,,,0,,,,,0,,,0
Cómo crear maquetas con Adobe XD,,,,,1,,,,,,,0
Aprenda Modelagem 3D com o 123D Design,,,,,0,,,,,,,
Ferramentas Visuais,,0,,,,,,,,1,,1
Adobe Indesign CC Başlangıç,,0,,,,1,,1,1,,,
How to Doodle: Basics and Lettering,,,,,,,1,0,,,,
Mastering Photoshop CC 2017 - The Art of Design & Technology,,,,,,,,,,1,,
Design a logo for FREE in Inkscape,0,1,,,,,,1,,,1,
Foundation Skills on Adobe Illustrator: Learn Fast!,1,1,,,0,,,,,,0,
How To Create Amazing Cinemagraphs with Microsoft PowerPoint,,,,,,,,,,,,
Canva : Graphic Design Theory Volume1,,,,,,,,,,,0,
Master App Icon Design for iPhone (IOS) & Android Devices,,,,1,1,,0,0,,1,,
Photoshop: How to create stunning collages,,,1,,,,1,,0,,1,0
Mastering advance Photoshop,,,,,,,,,0,,0,
Logo Designing for Your Business in an Hour,,,1,,,,,,1,,,
DIY Design Professional Web Banners in Photoshop 4 Beginners,,,,1,,,,1,,,1,1
Photoshop CC for Beginners - A Comprehensive Crash Course,,,,,,,,,,,,
Teoria Basica del Arte. Como Pintar Ilustraciones Digitales,0,1,,,,,1,,,,,
Illustrator CC para novatos: ¡desde cero hasta experto! ,,,,1,,,,,,1,,
Photoshop para novatos:  ¡desde cero hasta experto!,,1,,,,,,,,1,,
Diventa un professionista del Graphic Design,1,,,,,,,,,1,,
Formação em Design Gráfico com Corel Draw Versões X8 / 2017.,0,,,,,,0,,,,,
ABC do Photoshop CC,,,0,,,,,,,,0,
Photoshop para iniciante - o básico,,,,,,,,,1,,,
Curso Online de Adobe Illustrator CC e CS6,,,,,,0,,,,,,
Photoshop & Illustrator CC Essentials in Arabic,,,,,,,,0,,1,0,
Photoshop from Zero to Hero ( Arabic ),,,0,0,,1,,,,0,,0
Photoshop Essentials - Uma Introdução Detalhada,,,,,0,,,,,,,
Photoshop CC 2015 Top New Features,,,,,0,,,,,,,
Expert Guide : Mastering Types feature in illustrator !,,,0,,,,,,,,,1
Cartoon Game Logo Design using Photoshop,,,,0,,,,0,0,,,
Most Wanted Flat Design Techniques #2: Hipster Businessman,1,,,,,,,1,0,,,
All-in-One Premium Design Course - Scratch to Pro+ Edition,,,,1,,,,,,,,
Typography 101: Picking the Right Fonts for Business Success,1,0,0,,,,,,,,,
Editorial Illustration Tutorial: From Drawing to Photoshop,1,0,,,,1,,,,,,
Kindle eBook Cover Design and Book Illustration Guide,1,,,,,,,,1,,0,0
Removing Backgrounds From Images using Adobe Photoshop,0,,,,,,0,,,,,
Graphic Design Secrets Revealed,1,0,,,,,,,,1,,
Drawing in Perspective,,,,,,,,,,0,,
"Digital Art in Adobe Illustrator CC: Angry Bird, Tom & Jerry",,,0,,,,,1,,,,
Adobe Illustrator For Beginners: Design A Typographic Logo,0,,,1,,1,,,,,0,
Surface Pattern Design : Create Scandinavian Patterns,,1,,1,,,,,1,,,
Draw a realistic Fantail using pencil,,,,,,,0,,0,,,
How to design a business card on Photoshop (for beginners),,,,,,,,,0,,,
Make Flat Design Space Ships in 30 Minutes in Illustrator!,,,1,,,,,,,,1,
Figure Drawing From Life Using The Reilly Technique.,0,1,,,,1,,,,,1,0
Drawing Cartoony Characters,,,1,,0,0,,,,,,
Learn Blender 3D  - The introduction course,,,1,,,,,0,,,,
Inkscape For Beginners 2016/2017,,,,,,0,0,,1,,,
Make yourself a Santa Claus: Photoshop Manipulation,,,1,,,,,0,1,,,0
Become an InDesign Pro in 10 Skills,,,,,,1,,,,,,
Digital Illustration: Make A Custom Character Illustration,,,,,,,,,,,,
Learn Basics Of Adobe Illustrator,,,,,,,,0,,,1,
Discover the 7 Secrets to Figure Drawing: Draw Awesome ...,,,,,1,,,,,,,
LOGO DESIGN IN POWERPOINT,0,,,0,0,,,0,,,,
Photoshop CC MasterClass,,,1,,,,,1,1,,,
Become A Logo Designer ,,,,,,1,,1,,0,,
Learn Illustrator By Recreating Top 3 Logos - Beginner Guide,1,0,,,,,1,,,,,0
Illustrative Surface Patterns Design : From Life To Products,0,,,,,,,,,,,1
Effective iOS & Android App Icon Design,,,1,,,,1,,,,,
Creating an animated greeting card via Google Slides,0,0,,,,,,,,,,
Photoshop: Learn Digital Painting Basics in Photoshop,,,,1,,,,1,,,,0
Learning Photoshop CC 2014 in Egyptian Arabic ,1,,0,,1,1,,0,,,,
Make tech circles in Photoshop in 30 minutes!,,,,,,,,,1,,,
Graphic design - The Quick Guide,,,,,,,,,1,0,,
Learn Corel x7 Like a Pro,,,,,,1,,,,1,,
Make tech circles in Adobe Illustrator in 30 minutes,,,,,,,,,,1,,1
Easy Illustration and 2D Animation,,,,,,,,,,,,
Make Tech circles in Adobe Photoshop and Illustrator,0,,,,,,,0,,0,,1
Turn Your Photos Into Professional And Modern Artworks,,,,,1,1,,,,,,
Calligraphy for Beginners: Creating Strong Lines,,,0,,,,,,,,0,
Canva: Design Album Cover Artwork in Minutes - No More Fees!,,,,,,,0,0,,,,
Getting Started With Photoshop CC,,,1,,,0,,,,,,
Learn Adobe Photoshop in 1 Hour,,1,,1,,,,,,,,
Learn Comic Book Color Flatting! (Coloring Assistant role),,1,0,,,,0,1,,1,0,
Illustrator - Creating stylised images from a photo,,,,1,0,,,,0,,,
Gimp In-Depth Essential Training Course: Free Photoshop Alt.,,1,,,,0,,0,,1,,
Conviértete en un experto de photoshop cc naked series,,,,,,,,,1,0,,1
CORSO COMPLETO DI E-ON VUE X-STREAM PER TUTTI,,,,,,,,,,,,1
商業好設計-Illustrator個性商品設計,0,,,,,1,,,,,,
Ilustración de la A a la Z,1,,,,1,,,,,,0,1
Diseño Gráfico fácil y rápido.,,,,,0,,,,1,,0,
超基礎！超入門！〜作りながら学ぶ。完全無料3DCGソフトBlender〜,,,1,,,,,1,,0,,
调色高级讲解,0,,,,1,,,,,,,
Curso de Corel Draw: Como Hacer Todo para tu Fiesta Temática,,,,1,,0,,,,,,
Infodesign,,,,0,,,,,1,,1,
تصميم القوالب الدائرية بالفيغاس | Circular Templates Vegas,,,,0,,,1,,0,,,
Affinity Designer - tworzenie wzorków,,,,,,1,,,,,,
Photoshop: Creando efectos de luz,,1,,,,,,0,1,,,
Learning Photoshop CC 2015,,,,,,1,,,,,,0
Create Awesome Ebook Covers Using Microsoft Word,,,,,,,,,,1,,
Photoshop Essentials: Designing FaceBook Graphics,,,,0,0,,,,0,,0,1
Advance Learning Tools Corel Draw Graphics Design,0,,0,,,0,,,,,,
Creating an animated greeting card via Google Slides,,1,,,,,0,,1,,,
Logo Design for Entrepreneurs ,,0,,,,,,1,,,,1
Sketch 3: Design a mobile application from scratch,0,,1,,,,,,0,,,0
Draw a Kitten,1,,,,,0,,1,1,,,
Adobe Photoshop Essentials: Master Adobe Photoshop CS6,,,,0,,0,,,,,,
Learn GIMP,,,,,,,0,0,1,1,,
Texturing For Designers - Bring Life to Design With Textures,,,1,,,,,,0,,,
Learn Advanced Photoshop Selections,,,,,,,,,,,1,0
InDesign: Diseño de proyectos paso a paso,1,,,,,,,,1,1,,
Domina el Diseño Gráfico para Web con Photoshop CC,,,,,1,,,,,1,,
Graphicriver Autor – Verkaufe deine Designs online,,,0,,,,,,1,,,
Adobe Illustrator CC,,,0,1,,1,,1,,,0,
캔바(Canva)로 SNS 콘텐츠 만들기,,,,,,,,,,,0,
"Illustrator para criação de peças gráficas, Design Gráfico",,,,,,,,,,,,
Photoshop Workflow - Manipulação de imagem para Publicidade,,,,,,,1,,,,,
Como Produzir Ebook e Livros com Adobe Indesign CC e CS6,0,,,,,,0,,,,,
